Employee_id,Absence_id
9043147,473479
9043155,473479
9043156,473479
9043158,473479
9043159,473479
9043160,473479
9043161,473479
9043162,473479
9043245,473479
9043246,473479
9043248,473479
9043249,473479
9043250,473479
9043251,473479
9043252,473479
9043253,473479
9043254,473479
9043255,473479
9043256,473479
9043257,473479
9043258,473479
9043259,473479
9043260,473479
9043261,473479
9043262,473479
9043263,473479
9043264,473479
9043265,473479
9043266,473479
9043267,473479
9043268,473479
9043269,473479
9043270,473479
9043271,473479
9043272,473479
9043273,473479
9043274,473479
9043275,473479
9043276,473479
9043277,473479
9043278,473479
9043279,473479
9043280,473479
9043281,473479
9043282,473479
9043283,473479
9043284,473479
9043285,473479
9043286,473479
9043287,473479
9043288,473479
9043289,473479
9043290,473479
9043291,473479
9043292,473479
9043293,473479
9043294,473479
9043295,473479
9043296,473479
9043297,473479
9043298,473479
9043299,473479
9043300,473479
9043301,473479
9043302,473479
9043303,473479
9043304,473479
9043305,473479
9043306,473479
9043307,473479
9043308,473479
9043309,473479
9043310,473479
9043311,473479
9043312,473479
9043313,473479
9044141,473479
9044142,473479
9044144,473479
9044147,473479
9044150,473479
9044151,473479
9044152,473479
9044153,473479
9044154,473479
9044155,473479
9044156,473479
9044157,473479
9044158,473479
9044159,473479
9044160,473479
9044161,473479
9044162,473479
9044163,473479
9044164,473479
9044165,473479
9044166,473479
9044167,473479
9044168,473479
9044169,473479
9044170,473479
9044171,473479
9044172,473479
9044173,473479
9044174,473479
9044175,473479
9044176,473479
9044177,473479
9044178,473479
9044179,473479
9044180,473479
9044181,473479
9044182,473479
9044183,473479
9044184,473479
9044185,473479
9044186,473479
9044187,473479
9044188,473479
9044189,473479
9044190,473479
9044191,473479
9044192,473479
9044193,473479
9044194,473479
9044195,473479
9044196,473479
9044197,473479
9044198,473479
9044199,473479
9044200,473479
9044201,473479
9044202,473479
9044203,473479
9044204,473479
9044205,473479
9044206,473479
9044207,473479
9044208,473479
9044209,473479
9044210,473479
9044211,473479
9044212,473479
9044213,473479
9044214,473479
9044215,473479
9044216,473479
9044217,473479
9044218,473479
9044219,473479
9044220,473479
